sex,types,level,birthday,following,fans,view,likes,album,article,video,audio
男,-1,5.0,01-01,46,23,51259.0,17.0,0,0,8,0
男,-1,6.0,01-01,77,13,161.0,13.0,1,2,1,0
男,-1,6.0,09-23,653,720,172091.0,3379.0,3,0,13,0
保密,-1,5.0,09-15,40,5,5134.0,3.0,0,0,1,0
男,-1,5.0,08-09,514,21,962.0,22.0,4,0,17,0
男,-1,4.0,01-01,17,3,75.0,2.0,0,0,1,0
女,-1,5.0,09-09,0,671,155914.0,6560.0,0,0,9,0
男,-1,4.0,01-01,6,62,156666.0,54.0,0,0,0,0
男,-1,4.0,01-29,34,37,5770.0,152.0,0,0,10,0
男,-1,6.0,04-24,46,43,982.0,19.0,0,0,7,0
男,-1,5.0,01-01,87,10,17179.0,67.0,1,0,15,0
保密,-1,4.0,01-01,153,142,34699.0,1154.0,1,2,92,0
保密,-1,5.0,02-25,269,82,8128.0,128.0,6,0,6,0
男,-1,5.0,07-06,224,12,10423.0,3.0,0,0,1,0
男,-1,5.0,12-22,343,49,12081.0,59.0,0,0,0,0
男,-1,5.0,01-01,31,38,83422.0,24.0,0,0,2,0
男,-1,3.0,01-01,4,58,15558.0,53.0,0,0,8,0
保密,-1,6.0,10-12,313,2906,1391587.0,2616.0,4,0,106,0
男,-1,5.0,09-06,509,43,3721.0,39.0,0,0,25,2
男,-1,6.0,04-22,142,142,42836.0,460.0,0,0,15,0
保密,-1,5.0,10-01,192,203,93264.0,845.0,0,0,4,0
保密,-1,6.0,10-29,0,35681,2776190.0,259434.0,450,0,687,0
保密,-1,5.0,06-26,55,10,273.0,8.0,1,0,1,0
保密,-1,5.0,01-01,23,11,1464.0,5.0,0,0,1,0
男,-1,5.0,09-07,48,8,5946.0,101.0,0,0,16,0
男,-1,6.0,07-09,170,27,5198.0,387.0,11,0,3,0
保密,-1,5.0,12-27,113,12,530.0,10.0,1,0,1,0
男,-1,5.0,10-24,50,294,65454.0,275.0,2,0,65,0
男,-1,5.0,07-20,22,0,496.0,1.0,0,0,0,0
男,-1,5.0,01-01,19,5,82.0,2.0,1,0,1,0
女,-1,5.0,10-29,30,41,40427.0,66.0,0,0,12,0
女,-1,5.0,01-01,98,188,63048.0,70.0,0,0,14,1
保密,-1,2.0,06-25,71,192,2382.0,613.0,9,0,9,0
男,-1,4.0,03-17,5,16,2279.0,11.0,0,0,1,0
男,-1,6.0,01-01,187,279,159094.0,592.0,1,0,91,0
保密,-1,4.0,09-07,44,3,67.0,2.0,0,0,0,0
男,-1,5.0,07-07,40,1107,468987.0,1510.0,0,0,262,0
保密,-1,4.0,01-01,158,124,215738.0,241.0,1,0,34,0
保密,-1,5.0,01-01,33,0,75.0,2.0,1,0,1,0
男,-1,2.0,06-12,70,149,1401.0,164.0,0,0,1,0
女,-1,5.0,01-01,140,22,26271.0,21.0,0,0,3,0
男,-1,5.0,03-15,31,5,3786.0,20.0,0,0,5,0
男,-1,6.0,01-01,236,60,72160.0,424.0,0,0,12,0
男,-1,5.0,11-15,86,66,28557.0,22.0,0,0,27,0
男,-1,5.0,01-01,156,5,6953.0,3.0,0,0,7,0
男,-1,4.0,05-05,100,4,1945.0,17.0,1,0,1,0
保密,-1,5.0,01-01,84,10,2732.0,12.0,0,0,5,0
保密,-1,6.0,07-07,282,440,91450.0,156.0,1,0,69,0
男,-1,6.0,01-01,125,383,2786.0,284.0,0,1,9,0
女,0,6.0,08-31,101,1089307,76291585.0,1174471.0,58,0,235,59
保密,-1,5.0,01-01,34,27,44190.0,31.0,0,0,0,0
女,-1,5.0,10-20,70,3338,112152.0,194.0,13,1,18,0
男,-1,3.0,05-26,0,7,17.0,3.0,0,0,0,0
保密,-1,5.0,01-01,76,528,477000.0,43.0,0,0,44,0
男,-1,4.0,01-30,3,6,8007.0,73.0,0,0,1,0
保密,-1,5.0,01-01,52,57,439.0,27.0,0,0,1,0
男,-1,5.0,01-01,13,1619,2691320.0,2028.0,0,0,125,0
男,-1,5.0,01-01,313,6,18.0,2.0,0,0,0,0
保密,-1,6.0,01-01,817,13,734.0,12.0,2,0,0,0
